pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
408.0,-112.0,180.0,top,C1,,,C_0805_2012Metric,10uF,smt
408.0,-102.0,180.0,top,C2,,,C_0805_2012Metric,10uF,smt
43.445,-33.54,90.0,bottom,D1,,,D_0805_2012Metric,D,smt
72.445,-53.04,90.0,bottom,D10,,,D_0805_2012Metric,D,smt
76.945,-72.54,90.0,bottom,D11,,,D_0805_2012Metric,D,smt
81.945,-92.04,90.0,bottom,D12,,,D_0805_2012Metric,D,smt
70.445,-111.54,90.0,bottom,D13,,,D_0805_2012Metric,D,smt
213.485,-72.63,90.0,bottom,D14,,,D_0805_2012Metric,D,smt
257.565,-92.04,90.0,bottom,D15,,,D_0805_2012Metric,D,smt
277.065,-92.04,90.0,bottom,D16,,,D_0805_2012Metric,D,smt
82.445,-33.54,90.0,bottom,D17,,,D_0805_2012Metric,D,smt
91.945,-53.04,90.0,bottom,D18,,,D_0805_2012Metric,D,smt
96.445,-72.54,90.0,bottom,D19,,,D_0805_2012Metric,D,smt
47.945,-53.04,90.0,bottom,D2,,,D_0805_2012Metric,D,smt
101.445,-92.04,90.0,bottom,D20,,,D_0805_2012Metric,D,smt
94.945,-111.54,90.0,bottom,D21,,,D_0805_2012Metric,D,smt
209.025,-53.01,90.0,bottom,D22,,,D_0805_2012Metric,D,smt
237.945,-92.04,90.0,bottom,D23,,,D_0805_2012Metric,D,smt
296.525,-91.9775,90.0,bottom,D24,,,D_0805_2012Metric,D,smt
101.945,-33.54,90.0,bottom,D25,,,D_0805_2012Metric,D,smt
111.445,-53.04,90.0,bottom,D26,,,D_0805_2012Metric,D,smt
115.945,-72.54,90.0,bottom,D27,,,D_0805_2012Metric,D,smt
120.945,-92.04,90.0,bottom,D28,,,D_0805_2012Metric,D,smt
116.97,-111.4375,90.0,bottom,D29,,,D_0805_2012Metric,D,smt
50.58,-72.55,90.0,bottom,D3,,,D_0805_2012Metric,D,smt
199.7,-33.4875,90.0,bottom,D30,,,D_0805_2012Metric,D,smt
232.945,-72.6025,90.0,bottom,D31,,,D_0805_2012Metric,D,smt
328.93,-111.54,90.0,bottom,D32,,,D_0805_2012Metric,D,smt
121.485,-33.4775,90.0,bottom,D33,,,D_0805_2012Metric,D,smt
130.905,-53.0,90.0,bottom,D34,,,D_0805_2012Metric,D,smt
135.445,-72.54,90.0,bottom,D35,,,D_0805_2012Metric,D,smt
140.445,-92.1025,90.0,bottom,D36,,,D_0805_2012Metric,D,smt
189.92,-107.5,0.0,bottom,D37,,,D_0805_2012Metric,D,smt
219.35,-33.4475,90.0,bottom,D38,,,D_0805_2012Metric,D,smt
228.43,-53.04,90.0,bottom,D39,,,D_0805_2012Metric,D,smt
52.945,-92.04,90.0,bottom,D4,,,D_0805_2012Metric,D,smt
328.97,-92.04,90.0,bottom,D40,,,D_0805_2012Metric,D,smt
140.865,-33.4775,90.0,bottom,D41,,,D_0805_2012Metric,D,smt
150.445,-52.9375,90.0,bottom,D42,,,D_0805_2012Metric,D,smt
154.93,-72.46,90.0,bottom,D43,,,D_0805_2012Metric,D,smt
159.945,-92.1025,90.0,bottom,D44,,,D_0805_2012Metric,D,smt
257.28,-111.4375,90.0,bottom,D45,,,D_0805_2012Metric,D,smt
238.81,-33.51,90.0,bottom,D46,,,D_0805_2012Metric,D,smt
247.81,-52.9775,90.0,bottom,D47,,,D_0805_2012Metric,D,smt
328.85,-72.04,90.0,bottom,D48,,,D_0805_2012Metric,D,smt
160.445,-33.4775,90.0,bottom,D49,,,D_0805_2012Metric,D,smt
46.16,-111.5125,90.0,bottom,D5,,,D_0805_2012Metric,D,smt
170.025,-52.9375,90.0,bottom,D50,,,D_0805_2012Metric,D,smt
174.51,-72.3975,90.0,bottom,D51,,,D_0805_2012Metric,D,smt
179.445,-91.9775,90.0,bottom,D52,,,D_0805_2012Metric,D,smt
277.2,-111.5,90.0,bottom,D53,,,D_0805_2012Metric,D,smt
258.365,-33.54,90.0,bottom,D54,,,D_0805_2012Metric,D,smt
267.31,-53.04,90.0,bottom,D55,,,D_0805_2012Metric,D,smt
328.93,-52.4775,90.0,bottom,D56,,,D_0805_2012Metric,D,smt
179.945,-33.54,90.0,bottom,D57,,,D_0805_2012Metric,D,smt
189.445,-53.04,90.0,bottom,D58,,,D_0805_2012Metric,D,smt
193.945,-72.6025,90.0,bottom,D59,,,D_0805_2012Metric,D,smt
218.5,-91.9625,90.0,bottom,D6,,,D_0805_2012Metric,D,smt
198.85,-91.9375,90.0,bottom,D60,,,D_0805_2012Metric,D,smt
296.84,-111.58,90.0,bottom,D61,,,D_0805_2012Metric,D,smt
287.51,-33.47,90.0,bottom,D62,,,D_0805_2012Metric,D,smt
295.445,-65.4775,90.0,bottom,D63,,,D_0805_2012Metric,D,smt
328.97,-33.4375,90.0,bottom,D64,,,D_0805_2012Metric,D,smt
252.58,-72.4125,90.0,bottom,D7,,,D_0805_2012Metric,D,smt
272.165,-72.4025,90.0,bottom,D8,,,D_0805_2012Metric,D,smt
62.945,-33.54,90.0,bottom,D9,,,D_0805_2012Metric,D,smt
392.18,-98.94792,180.0,top,R1,,,R_0805_2012Metric,10k,smt
341.595,-79.9425,-90.0,bottom,R10,,,R_0805_2012Metric,10k,smt
344.645,-64.6175,90.0,bottom,R11,,,R_0805_2012Metric,10k,smt
345.195,-51.8125,-90.0,bottom,R12,,,R_0805_2012Metric,10k,smt
339.195,-64.53,90.0,bottom,R13,,,R_0805_2012Metric,10k,smt
339.195,-36.725,90.0,bottom,R14,,,R_0805_2012Metric,10k,smt
341.695,-36.725,90.0,bottom,R15,,,R_0805_2012Metric,10k,smt
344.695,-36.725,90.0,bottom,R16,,,R_0805_2012Metric,10k,smt
336.695,-36.725,90.0,bottom,R17,,,R_0805_2012Metric,10k,smt
336.695,-51.725,-90.0,bottom,R18,,,R_0805_2012Metric,10k,smt
338.695,-51.725,-90.0,bottom,R19,,,R_0805_2012Metric,10k,smt
387.855,-98.94792,0.0,top,R2,,,R_0805_2012Metric,10k,smt
342.195,-51.6375,-90.0,bottom,R20,,,R_0805_2012Metric,10k,smt
383.68,-98.94792,0.0,top,R3,,,R_0805_2012Metric,10k,smt
396.0925,-98.94792,180.0,top,R4,,,R_0805_2012Metric,10k,smt
344.245,-79.9425,-90.0,bottom,R5,,,R_0805_2012Metric,10k,smt
336.195,-64.53,90.0,bottom,R6,,,R_0805_2012Metric,10k,smt
335.695,-79.9425,-90.0,bottom,R7,,,R_0805_2012Metric,10k,smt
338.645,-79.9425,-90.0,bottom,R8,,,R_0805_2012Metric,10k,smt
341.695,-64.6175,90.0,bottom,R9,,,R_0805_2012Metric,10k,smt
386.68,-105.44792,0.0,top,SW1,,,RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx,RotaryEncoder_Switch,tht
54.365,-34.54,0.0,top,SW10,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
63.865,-54.04,0.0,top,SW11,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
68.525,-73.54,0.0,top,SW12,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
73.445,-93.04,0.0,top,SW13,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
61.865,-112.54,0.0,top,SW14,,,SW_Hotswap_Kailh_MX_1.25u,SW_Push,smt
204.945,-73.58,0.0,top,SW15,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
249.025,-93.04,0.0,top,SW16,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
268.525,-93.04,0.0,top,SW17,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
73.865,-34.54,0.0,top,SW18,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
83.445,-54.04,0.0,top,SW19,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
34.81,-34.54,0.0,top,SW2,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
87.945,-73.54,0.0,top,SW20,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
92.945,-93.04,0.0,top,SW21,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
86.28,-112.54,0.0,top,SW22,,,SW_Hotswap_Kailh_MX_1.25u,SW_Push,smt
200.525,-54.04,0.0,top,SW23,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
229.445,-93.04,0.0,top,SW24,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
288.025,-93.04,0.0,top,SW25,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
93.445,-34.54,0.0,top,SW26,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
102.865,-54.04,0.0,top,SW27,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
107.445,-73.54,0.0,top,SW28,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
112.445,-93.04,0.0,top,SW29,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
39.525,-54.04,0.0,top,SW3,,,SW_Hotswap_Kailh_MX_1.50u,SW_Push,smt
108.525,-112.54,0.0,top,SW30,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
191.255,-34.58,0.0,top,SW31,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
224.5,-73.6025,0.0,top,SW32,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
320.485,-112.54,0.0,top,SW33,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
112.945,-34.54,0.0,top,SW34,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
122.365,-54.04,0.0,top,SW35,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
126.945,-73.54,0.0,top,SW36,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
131.865,-93.04,0.0,top,SW37,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
178.085,-112.54,0.0,top,SW38,,,SW_Hotswap_Kailh_MX_6.25u,SW_Push,smt
210.865,-34.54,0.0,top,SW39,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
41.945,-73.54,0.0,top,SW4,,,SW_Hotswap_Kailh_MX_1.75u,SW_Push,smt
219.945,-54.04,0.0,top,SW40,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
320.485,-93.04,0.0,top,SW41,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
132.365,-34.54,0.0,top,SW42,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
141.945,-54.04,0.0,top,SW43,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
146.445,-73.54,0.0,top,SW44,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
151.525,-93.04,0.0,top,SW45,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
248.835,-112.54,0.0,top,SW46,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
230.365,-34.54,0.0,top,SW47,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
239.365,-54.04,0.0,top,SW48,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
320.405,-73.04,0.0,top,SW49,,,SW_Hotswap_Kailh_MX_1.00u,SW_Push,smt
